PLAYER_NAME,PTS36,TS%,AST_TO,WIN_PCT,PTS36_z,TS%_z,AST_TO_z,WIN_PCT_z,CLUTCH_SCORE
Nikola Jokić,36.0,0.6654664447126942,2.2000000000000006,0.6962025316455697,2.14277948133775,1.7451705763506133,-0.19122801425801816,1.1449213912746006,1.4569095017161404
Jalen Brunson,42.0,0.58467303624933,3.333333333333333,0.6363636363636364,2.869102437772441,0.2045288789584722,0.20010704501462392,0.7408623145409716,1.3231072792535399
Stephen Curry,40.5,0.6111125377567524,1.0,0.581081081081081,2.687521698663768,0.7087011778542189,-0.6055827828996397,0.36756969037567777,1.2032594452794128
Tyrese Maxey,41.0232558139535,0.5721656838494618,2.5000000000000013,0.6142857142857143,2.750863816957492,-0.03397261513250097,-0.08763932209761259,0.5917822760648007,1.1318041054302042
Walker Kessler,18.461538461538463,0.6899140333337357,10.0,0.40625,0.01968160868250087,2.211359280932192,2.5020779819125205,-0.8129682335470629,1.090399200780456
Kevin Durant,31.885714285714286,0.6365135239443664,3.000000000000007,0.5866666666666667,1.644729454068248,1.1930701284879228,0.08500849816973165,0.4052860710691196,1.0733431269145344
LeBron James,31.200000000000003,0.6329720901344708,3.0000000000000018,0.5774647887323944,1.561721116189998,1.1255388694427786,0.0850084981697298,0.3431508614396699,1.0136668930867456
Jamal Murray,26.742857142857144,0.5812166143265668,8.00000000000002,0.7457627118644068,1.0221669199813703,0.1386187033727503,1.8114867008431585,1.4795739707987694,0.9607071162528821
Giannis Antetokounmpo,26.099999999999998,0.6478277541888059,4.0,0.6164383561643836,0.9443466032205103,1.4088200915109936,0.4303041387044137,0.6063178801386255,0.9470772844962476
Trae Young,36.0,0.5914354599746271,2.5,0.4074074074074074,2.14277948133775,0.33348088339520654,-0.08763932209761305,-0.8051528992859893,0.8591129032055406
Darius Garland,32.727272727272734,0.5599937428085371,5.999999999999999,0.543859649122807,1.7466033232824651,-0.2660781824369255,1.1208954197737824,0.11623387675639481,0.8546203462123044
Aaron Gordon,17.18181818181818,0.6275181638446663,10.0,0.6712328767123288,-0.1352334274801434,1.0215384761385884,2.5020779819125205,0.9763150747450778,0.8504152757065311
Tyrese Haliburton,29.368421052631582,0.5961473752085268,4.000000000000002,0.5797101449275363,1.340001476857303,0.4233319395889165,0.4303041387044143,0.3583125141886484,0.7848922517793437
Norman Powell,30.31578947368421,0.6193884438910966,0.5,0.631578947368421,1.4546840489259378,0.8665136320726292,-0.778230603166982,0.7085539470693554,0.7570369832657031
Anthony Edwards,35.05263157894738,0.5633214577570809,0.75,0.6835443037974683,2.0280969092691157,-0.2026223077032033,-0.6919066930333109,1.0594473558117172,0.718015468371195
Aaron Nesmith,15.157894736842106,0.632495541693562,10.0,0.5694444444444444,-0.38023710417222767,1.1164516132809827,2.5020779819125205,0.28899389726434144,0.7121556284243419
Ja Morant,32.21052631578947,0.5692009600839951,2.3333333333333335,0.6666666666666666,1.6840491930632084,-0.09050664607883128,-0.14518859552006042,0.9454819751945398,0.7119781618170758
T.J. McConnell,22.064516129032256,0.5736079635596386,10.0,0.5633802816901409,0.4558358405862104,-0.006469922733916332,2.5020779819125205,0.24804594874153263,0.7056135506709666
DeMar DeRozan,31.60975609756098,0.586474006163476,3.0,0.46835443037974683,1.6113236595562697,0.2388714001895237,0.08500849816972919,-0.39361124705729333,0.6938314588075813
Dereck Lively II,7.199999999999997,0.6874865847535556,10.0,0.6363636363636364,-1.3435707095487652,2.165070498567024,2.5020779819125205,0.7408623145409716,0.6865946935872024
Jayson Tatum,25.116279069767444,0.6057066487656028,2.6666666666666674,0.7702702702702703,0.8252634208283116,0.6056168031553235,-0.030090048675165376,1.6450600041857941,0.6702783999614681
De'Andre Hunter,20.57142857142857,0.5888616159498035,10.0,0.45614035087719296,0.27509187907711685,0.28440050044509246,2.5020779819125205,-0.47608619355656656,0.648163878791222
Devin Booker,22.799999999999997,0.6040651445648225,5.0000000000000036,0.6323529411764706,0.5448689771814305,0.5743151182002549,0.7755997792390994,0.7137803006309404,0.6167401122435626
CJ McCollum,27.219512195121954,0.5852268050662675,3.0,0.6363636363636364,1.0798678377747886,0.2150886430074942,0.08500849816972919,0.7408623145409716,0.5875616591002067
Mark Williams,22.0,0.6865807221736239,0.6666666666666662,0.3684210526315789,0.44802591632347205,2.1477966925809464,-0.7206813297445348,-1.0684062638695275,0.572572481967813
Jimmy Butler III,23.400000000000002,0.6333220414352837,2.0,0.55,0.6175012728249001,1.132212056975565,-0.26028714236495526,0.1576962816783022,0.5503763259174687
Kyrie Irving,25.411764705882355,0.6065435967309002,1.3333333333333341,0.6724137931034483,0.8610330876294728,0.6215764830154624,-0.49048423605474467,0.9842891522150444,0.5312182479669835
Isaiah Hartenstein,15.599999999999996,0.6626378919579248,4.0000000000000036,0.6266666666666667,-0.3267185705401984,1.6912331772464864,0.4303041387044149,0.6753840231318301,0.5302817550119324
Immanuel Quickley,19.894736842105264,0.5765760846427749,10.0,0.4117647058823529,0.19317575617094906,0.050128891334709054,2.5020779819125205,-0.7757304644207703,0.5151515198092194
James Harden,25.846153846153847,0.6073559166440549,1.0,0.6388888888888888,0.9136175550636584,0.6370665329295657,-0.6055827828996397,0.7579139529287687,0.511241820617282
Anthony Davis,24.0,0.6202656580892727,1.5,0.5921052631578947,0.6901335684683689,0.8832411448358436,-0.4329349626322975,0.44200991542852286,0.4986397698544933
De'Aaron Fox,31.0,0.5613600510331876,1.6666666666666674,0.5675675675675675,1.537510350975508,-0.24002418295327965,-0.3753856892098499,0.27632038224638394,0.4955517858868877
