PLAYER_NAME,TEAM_ABBREVIATION,MIN,PTS_per_min,AST_per_min,STL_per_min,BLK_per_min,TREB_per_min,TOV_per_min,FG_PCT,PLUS_MINUS_per_min,CLUTCH_SCORE
Chris Paul,SAS,3.1,0.5483870967741935,0.2258064516129032,0.06451612903225806,0.03225806451612903,0.22580645161290322,0.06451612903225806,0.469,-0.0967741935483871,0.26222258064516124
Christian Braun,DEN,3.8,0.2894736842105263,0.07894736842105263,0.052631578947368425,0.026315789473684213,0.13157894736842107,0.026315789473684213,0.462,0.39473684210526316,0.2047526315789474
Coby White,CHI,3.4,0.7058823529411765,0.08823529411764706,0.029411764705882356,0.0,0.11764705882352942,0.05882352941176471,0.509,0.3235294117647059,0.3207529411764706
Collin Sexton,UTA,4.0,0.6,0.075,0.0,0.0,0.15,0.075,0.5,-0.425,0.21374999999999997
Damian Lillard,MIL,3.6,0.6111111111111112,0.16666666666666666,0.02777777777777778,0.0,0.19444444444444445,0.08333333333333333,0.321,0.3055555555555556,0.2897388888888889
Darius Garland,CLE,3.3,0.9090909090909092,0.18181818181818182,0.060606060606060615,0.030303030303030307,0.060606060606060615,0.030303030303030307,0.534,0.7575757575757576,0.43446060606060605
Davion Mitchell,MIA,3.9,0.2820512820512821,0.05128205128205129,0.025641025641025644,0.025641025641025644,0.05128205128205129,0.025641025641025644,0.478,-0.46153846153846156,0.10164615384615386
De'Aaron Fox,SAS,3.6,0.8611111111111112,0.1388888888888889,0.05555555555555556,0.0,0.1111111111111111,0.08333333333333333,0.465,0.1388888888888889,0.3492777777777778
De'Andre Hunter,CLE,4.2,0.5714285714285714,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.16666666666666666,0.0,0.477,0.30952380952380953,0.2810333333333333
DeMar DeRozan,SAC,4.1,0.878048780487805,0.07317073170731708,0.02439024390243903,0.0,0.12195121951219513,0.02439024390243903,0.441,0.17073170731707318,0.3508073170731708
Deandre Ayton,POR,3.5,0.42857142857142855,0.05714285714285715,0.028571428571428574,0.05714285714285715,0.42857142857142855,0.028571428571428574,0.5,0.2571428571428572,0.27928571428571425
Dejounte Murray,NOP,4.3,0.6279069767441862,0.11627906976744186,0.06976744186046512,0.023255813953488375,0.23255813953488375,0.023255813953488375,0.414,0.11627906976744186,0.2937255813953489
Deni Avdija,POR,3.2,0.5625,0.09374999999999999,0.03125,0.03125,0.24999999999999997,0.0625,0.429,-0.25,0.23508749999999998
Dereck Lively II,DAL,3.0,0.19999999999999998,0.03333333333333333,0.06666666666666667,0.16666666666666666,0.19999999999999998,0.0,0.667,0.6,0.23753333333333332
Derrick Jones Jr.,LAC,3.0,0.39999999999999997,0.03333333333333333,0.03333333333333333,0.0,0.09999999999999999,0.0,0.688,-0.43333333333333335,0.16629999999999998
